Series Name,Series Code,1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Emission Totals - Emissions (CO2eq) (AR5) - Savanna fires,CC.EAR.SVF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.247,209.247,209.247,209.247,209.247,209.247,257.2978,234.2415,880.5154,297.7199,161.5354,134.9376,143.7614,313.3872,105.6769,157.4523,55.6212,473.3899,173.0626,77.4016,100.5513,83.0887,601.5291,156.3516,108.3617,101.4576,105.6841,30.3713,72.425,108.1685,..,..,..,..
Emission Totals - Emissions (CO2eq) (AR5) - Synthetic Fertilizers,CC.EAR.SFE,16.553,19.3119,40.4115,57.0087,71.7298,65.0369,71.7298,59.5909,88.2829,121.3889,102.0771,102.055,112.3951,107.043,120.7378,123.6898,139.509,140.2373,110.9053,147.322,204.1541,152.8397,165.5304,191.4634,267.6074,254.9168,263.734,317.8183,272.0216,270.918,289.1264,263.745,232.2943,280.2981,182.0834,347.6137,281.4016,292.437,299.0582,385.7464,441.4915,346.0909,375.5387,357.1262,400.1089,428.5415,438.3299,403.1823,371.737,390.5854,617.809,505.2609,711.0393,1263.1485,732.839,549.2999,462.3325,330.7318,447.4547,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - AFOLU,CC.ECA.AFO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18539.9728,17702.6321,17565.4574,17438.0761,17473.3459,17350.9734,16218.7335,16272.6126,16504.825,17709.6942,16185.9523,15987.4567,16758.7135,17956.7734,19232.908,18608.7208,18067.0102,29945.2494,30363.7727,28968.0302,29075.348,29816.7916,29523.1745,28877.879,29277.7984,29724.9184,32412.584,29946.9161,31150.4842,36397.1267,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Burning - Crop residues,CC.ECA.BCR,60.8662,71.936,79.7099,83.9076,96.2222,80.596,95.5722,109.8005,107.7879,96.6629,91.8874,102.8763,114.2837,114.5078,114.575,125.594,124.1817,118.3038,107.7682,107.3272,89.9972,97.2736,104.2864,80.0668,113.8339,115.0363,114.2146,116.8981,114.593,111.4263,106.2559,113.8685,109.2564,120.7211,116.4735,120.6319,121.6701,118.709,125.454,120.7768,130.7887,127.9522,133.8197,109.9945,142.1605,150.9424,128.8607,135.8317,150.5774,160.8876,170.1952,173.2654,170.9578,169.1593,167.3121,186.8407,166.2767,180.5566,174.6137,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Emissions on agricultural land,CC.ECA.EAL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18528.9629,17690.6168,17553.9787,17425.6913,17460.0998,17338.8987,16203.2906,16156.9933,16468.8755,17624.6491,16052.7606,15990.7844,16763.7688,17960.7407,19238.1453,18610.0405,18072.3,29955.0765,30372.754,28973.8529,29091.8094,29848.4229,29545.1141,28900.3399,29288.419,29714.2371,32418.9067,29950.8954,31156.7994,36399.307,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Enteric Fermentation,CC.ECA.EFE,8594.0904,8738.2848,8284.4888,8922.8496,9076.508,9325.988,9308.516,9360.008,9360.1508,10008.5412,10344.768,10636.304,10718.064,10827.488,11012.89,10848.082,11138.428,12183.4328,13450.1192,12126.184,11936.596,13243.608,14895.3,15423.3103,15161.188,15527.6786,15545.8487,16645.8884,17375.3936,17734.5187,16926.1113,16785.888,16668.904,16691.9634,16575.1544,15441.6376,15412.6553,15382.0822,16794.2534,15349.8772,15284.1616,16029.7114,17114.6685,18478.8306,17800.4784,17327.9444,28640.7931,29156.8168,27848.6846,27922.8022,28631.0796,28070.9619,27675.7634,28095.6386,28511.5569,31117.3527,28767.0779,29900.1261,34944.8431,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Farm-gate emissions,CC.ECA.FGE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18528.3519,17690.0058,17553.3677,17425.0803,17459.4888,17338.2877,16202.2903,16156.0693,16467.34,17623.3494,16052.2232,15990.7844,16763.7688,17960.6826,19238.0292,18610.0405,18072.3,29954.728,30372.754,28973.8529,29091.5771,29848.4229,29545.1141,28900.3399,29288.419,29714.2371,32418.9067,29950.8954,31156.7994,36399.2489,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Fires in humid tropical forests,CC.ECA.FTR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.611,0.611,0.611,0.611,0.611,0.611,1.0003,0.924,1.5355,1.2997,0.5374,0,0,0.0581,0.1162,0,0,0.3485,0,0,0.2323,0,0,0,0,0,0,0,0,0.0581,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Fires in organic soils,CC.ECA.FOS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..
Emission Totals - Emissions (CO2eq) from CH4 (AR5) - Forest fires,CC.ECA.FFR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5847,19.5847,19.5847,19.5847,19.5847,19.5847,23.2634,121.4409,42.1292,90.8878,137.9294,0.9711,0.6243,1.376,0.463,3.4681,0.9711,1.0421,1.734,4.3698,0.371,1.6647,4.3698,0.5549,0.1387,18.797,0.3468,1.1098,0.0694,3.3874,..,..,..,..
