Reporter Name,Partner Name,Trade Flow,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya,Fm Sudan,Export,Export Partner Share (%),0.9246,,,,,1.6279,2.2726,1.9876,1.6164,1.7071,1.684,2.3127,2.02,2.6428,4.0135,4.2214,4.0909,3.6999,4.5944,,,,,,,,,,1.29
Kenya,France,Export,Export Partner Share (%),2.0809,,,,,2.4589,1.8838,2.3046,2.0384,2.1391,1.4406,1.8418,2.1997,2.1291,1.8287,1.5491,1.4419,1.2561,1.2662,,,1.152,,1.0834,1.1533,1.3566,1.3262,1.349,1.4445
Kenya,Free Zones,Export,Export Partner Share (%),0.0147,,,,,0.6199,0.2587,0.1915,,,,,,,,0.0051,,,,,,,,,,,,,0.0358
Kenya,French Polynesia,Export,Export Partner Share (%),,,,,,,,,,,,0.0016,0.0004,0.0001,0.0001,,,,,,,,,,,,0.0017,,
Kenya,Gabon,Export,Export Partner Share (%),,,,,,0.0216,0.0051,0.0004,0.0014,0,0.0011,0.0005,0.0028,0.0029,0.0078,0.0008,0.0028,0.0114,0.0402,,,0.0042,,0.0405,0.0058,0.0038,0.0173,0.0315,0.0039
Kenya,"Gambia, The",Export,Export Partner Share (%),0.0002,,,,,0.0008,0.001,0.0062,0.0005,0.0011,0.0013,0.0036,0.0053,0.0065,0.01,0.0088,0.0066,0.0269,0.0027,,,0.0008,,0.0144,0.0009,0.0002,0.0018,0.0016,0.0016
Kenya,Georgia,Export,Export Partner Share (%),,,,,,,,,,,,0.0223,0.0238,0.0101,0.0193,0.0132,0.0076,0.0005,0.0024,,,0.0014,,0.0126,0.0038,0.0152,0.0252,0.0726,0.0083
Kenya,Germany,Export,Export Partner Share (%),5.2554,,,,,6.6839,4.7899,5.0201,4.6489,4.2742,2.5399,3.0408,2.2589,2.0405,1.859,2.1668,1.7859,2.1311,1.8825,,,1.7273,,2.1526,2.0524,1.9762,1.8208,1.8988,2.2672
Kenya,Ghana,Export,Export Partner Share (%),0.0222,,,,,0.0169,0.0141,0.0151,0.0739,0.0508,0.0279,0.1821,0.0984,0.1146,0.1436,0.1492,0.1384,0.1713,0.1649,,,0.1038,,0.0844,0.0924,0.0913,0.2053,0.1003,0.1426
Kenya,Gibraltar,Export,Export Partner Share (%),,,,,,,,,,,,0.0192,0.0001,0.0001,,0.0004,,,,,,,,,,,0.0006,0.0006,
